statistic	matched_frame_score	max_frame_score	start_region_score	window_max_score	phylop_mean	extension_length
count	20251.0	20251.0	20251.0	14931.0	20251.0	20251.0
null_count	121.0	121.0	121.0	5441.0	121.0	121.0
mean	NaN	NaN	NaN	NaN	NaN	3960.4482741593006
std	NaN	NaN	NaN	NaN	NaN	15201.726567090041
min	-95.02466543515523	-56.60869238926814	-101.11833216349284	-64.62660083770751	-16.116666793823242	3.0
25%	-24.009832700093586	-19.794289061745044	-26.334599876403807	-11.837199950218201	-0.15574657788834279	27.0
50%	-18.26428378364186	-14.291605893658987	-15.735266391436259	-2.0949999690055847	0.5118596487874655	75.0
75%	-11.322888826330503	-5.334916645040114	-6.145399856567383	5.499999928474426	2.1035409619860292	924.0
max	49.67800076802572	49.67800076802572	54.97200012207031	56.970600080490115	10.327333450317383	604135.0
